id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Proto
32971329,Antwerpen Centrum - GRATIS PARKING - GARAGE  (CAT),248149473,Christiane,M,Historisch Centrum,51.21831,4.39848,Entire home/apt,219,1,57,2021-12-07,1.69,6,165,19,M,Haha
32977224,"STUDIO  DAYLIGHT,located in the diamond district",149352979,Iris,M,Centraal Station,51.21485,4.41582,Entire home/apt,65,30,22,2020-03-19,0.65,1,0,0,M,Haha
33005678,Studio - 35 m² - Antwerpen,244272948,Arass Hotel***& Business Flats,M,Centraal Station,51.21039,4.42708,Hotel room,78,1,19,2021-11-14,0.59,11,289,4,M,Haha
33005778,Duplex Apartment - 55 m² - Antwerpen,244272948,Arass Hotel***& Business Flats,M,Centraal Station,51.21039,4.42708,Hotel room,94,1,26,2021-12-05,0.8,11,292,18,M,Haha
33005812,Appartment with terrasse - 60/80 m² - Antwerpen,244272948,Arass Hotel***& Business Flats,M,Centraal Station,51.21039,4.42708,Hotel room,102,1,0,M,M,11,253,0,M,Haha
33005836,Deluxe Apartment - 70/100 m² - Antwerpen,244272948,Arass Hotel***& Business Flats,M,Centraal Station,51.21039,4.42708,Hotel room,109,1,0,M,M,11,285,0,M,Haha
33005958,Family Apartment - 120 m² - Antwerpen,244272948,Arass Hotel***& Business Flats,M,Centraal Station,51.21039,4.42708,Hotel room,164,1,2,2021-08-29,0.11,11,279,1,M,Haha
33008361,Luxuary  studio in the centre of Antwerp,187508267,Nicole,M,Amandus - Atheneum,51.21946,4.42167,Entire home/apt,55,1,115,2021-12-19,3.42,1,319,40,M,Haha
33033659,Antwerp Centre - FREE PARKING - GARAGE  (HELENA),248149473,Christiane,M,Historisch Centrum,51.21835,4.39839,Entire home/apt,239,1,72,2021-12-14,2.13,6,166,29,M,Haha
33056645,Antwerp Centre incl FREE PARKING / GARAGE (ALESIA),248149473,Christiane,M,Historisch Centrum,51.21837,4.39916,Entire home/apt,226,1,46,2021-12-15,1.38,6,161,17,M,Haha
33059681,☘ Large loft with cityview 5star location,182678477,Driss,M,Theaterbuurt-Meir,51.2141,4.40946,Entire home/apt,129,1,75,2021-12-20,2.21,8,325,18,M,Haha
33094080,☘ Skyline apartment citycenter great view!,182678477,Driss,M,Theaterbuurt-Meir,51.2141,4.40946,Entire home/apt,130,1,48,2021-11-21,1.44,8,356,8,M,Haha
33114490,SUNNY SIDE UP! (fixed price and no cleaning costs),23999584,Lot,M,Borgerhout Extra Muros,51.20663,4.44908,Entire home/apt,75,2,31,2021-11-14,0.94,1,77,10,M,Haha
33115119,Room 6 close to center,244714583,Ani,M,Stadspark,51.20629,4.41407,Entire home/apt,34,1,58,2020-03-09,1.76,6,0,0,M,Haha
33129809,room 11 close to center,244714583,Ani,M,Stadspark,51.20626,4.41471,Entire home/apt,33,1,32,2020-03-10,0.96,6,0,0,M,Haha
33130061,Room 16 close to center,244714583,Ani,M,Stadspark,51.20723,4.41418,Entire home/apt,41,1,39,2020-02-16,1.17,6,0,0,M,Haha
33134106,room 7 close to center,244714583,Ani,M,Stadspark,51.20595,4.41415,Entire home/apt,41,1,32,2020-02-07,0.96,6,0,0,M,Haha
33134599,room 8 close to center,244714583,Ani,M,Stadspark,51.20585,4.41504,Entire home/apt,34,1,61,2021-06-22,1.82,6,0,3,M,Haha
33134795,Room 13 close to center,244714583,Ani,M,Stadspark,51.20684,4.41345,Entire home/apt,34,1,41,2020-03-09,1.24,6,0,0,M,Haha
33192413,Room,246559280,Hamza,M,Markgrave,51.20172,4.40025,Private room,33,1,1,2019-07-21,0.03,1,0,0,M,Haha
33196669,Ground floor apartment with terras,12862337,Heirman,M,Borgerhout Intra Muros Zuid,51.21539,4.43042,Entire home/apt,135,4,15,2021-10-24,0.47,1,355,7,M,Haha
33214606,Huize Viktor 2: Cosy apartment in Antwerp center,228207262,Ann,M,Historisch Centrum,51.22007,4.39797,Entire home/apt,99,10,1,2019-12-30,0.04,9,300,0,M,Haha
33215432,Superb loft with courtyard in Antwerp citycenter,228207262,Ann,M,Historisch Centrum,51.21873,4.39786,Entire home/apt,89,14,0,M,M,9,331,0,M,Haha
33215914,Spacious loft with garden in Antwerp citycenter,228207262,Ann,M,Historisch Centrum,51.22113,4.39677,Entire home/apt,89,14,1,2019-07-07,0.03,9,364,0,M,Haha
33216722,Centraal gelegen appartement met 2 terrassen.,4575401,Sofie,M,Centraal Station,51.21562,4.41644,Entire home/apt,60,2,7,2021-08-30,1.47,1,0,7,M,Haha
33382181,Antwerp city centre - 16th century house,216164654,Thomas,M,Sint-Andries,51.21594,4.39969,Private room,51,1,31,2021-12-21,1.26,1,260,27,M,Haha
33410025,Lighted and spacious apartment in Antwerp,110993942,Rev,M,Centraal Station,51.21846,4.42332,Entire home/apt,158,4,10,2021-11-22,0.31,16,347,7,M,Haha
33414044,Ultra downtown house - FREE WIFI + NETFLIX!,251716086,Ben,M,Theaterbuurt-Meir,51.21966,4.40674,Entire home/apt,111,2,99,2021-12-06,2.99,1,346,26,M,Haha
33520917,Hip appartement te huur centrum Antwerpen,244484390,Mike,M,Historisch Centrum,51.22163,4.4038,Entire home/apt,100,2,3,2019-04-28,0.09,1,0,0,M,Haha
33537491,Duplex place in south district for 2 to 4 people!,208159189,Charly,M,Zuid,51.20782,4.38987,Entire home/apt,98,2,59,2021-09-26,1.79,2,14,8,M,Haha
33599745,"Great apartment, top location in historical center",253181527,Paul,M,Universiteitsbuurt,51.21985,4.40794,Entire home/apt,80,3,29,2021-12-21,0.94,1,138,14,M,Haha
33623623,Stylish 1 bedroom apartment,195447870,Barbara,M,Universiteitsbuurt,51.22599,4.40514,Entire home/apt,92,1,95,2021-12-24,2.88,2,354,44,M,Haha
33685110,Verborgen parel in het historische centrum,106146420,Patrick,M,Historisch Centrum,51.22167,4.40194,Entire home/apt,85,2,78,2021-12-19,2.37,2,161,30,M,Haha
33714695,Gezellige kamer dichtbij centrum,210284502,Trix,M,Borgerhout Intra Muros Noord,51.2233,4.44227,Private room,22,2,25,2021-10-18,0.77,2,164,4,M,Haha
33716554,"Gezellig huis, 1e 2e en 3e verdieping",97280405,Leen,M,Borgerhout Intra Muros Noord,51.21886,4.44581,Entire home/apt,75,2,0,M,M,2,0,0,M,Haha
33744341,Trendy white duplex apartment in the city centre,211790109,Yaya,M,Amandus - Atheneum,51.22057,4.41927,Entire home/apt,69,20,104,2021-10-10,3.17,3,355,23,M,Haha
33800807,ZEN apartment,27585607,Christel,M,Amandus - Atheneum,51.22359,4.42224,Entire home/apt,68,2,80,2021-12-12,2.46,3,297,28,M,Haha
33905456,stylish studio in a former trophy factory,18964565,Charlotte,M,Borgerhout Intra Muros Zuid,51.21186,4.43998,Entire home/apt,50,1,89,2021-12-23,2.72,1,121,36,M,Haha
33958130,Duplex Standard Apartment - Antwerpen,244272948,Arass Hotel***& Business Flats,M,Centraal Station,51.21039,4.42708,Hotel room,86,1,3,2021-09-05,0.09,11,284,2,M,Haha
